title	abstract	keywords	authors	venue	doi	references	pages	bibtex	source	year	meta_title	link	publisher
Danish TV Christmas calendars: Folklore, myth and cultural history	"This article aims at characterizing the Danish Christmas calendar as a TV institution and a meeting place for the traditions of the almanac, folklore and the history of culture. Against the background of a brief outline of the history of Danish Christmas calendars, the article explores ways in which this traditional genre has succeeded in renewing itself. The so-called Pyrus series, TV 2's Christmas calendars during the mid-1990s, exhibited folklore, myth and cultural history in a combination of entertainment and information. They were succeeded by calendars such as Jul i Valhal/""Christmas in Valhalla"" (2005), Absalons hemmelighed/""The Secret of Absalon"" (2006), Mikkel og guldkortet/""Mikkel and the Golden Card"" (2008) and Pagten/""The Covenant"" (2009). Some of these added cultural criticism to the repertoire of the genre."		Agger, Gunhild	Journal of Scandinavian Cinema	https://doi.org/10.1386/jsca.3.3.267_1		267 - 280		Google Scholar	2013	Danish TV Christmas calendars: Folklore, myth and cultural history	https://intellectdiscover.com/content/journals/10.1386/jsca.3.3.267_1	Intellect Discover
Software Licenses in Context: The Challenge of Heterogeneously-Licensed Systems	"The prevailing approach to free/open source software and licenses has been that each system is developed, distributed, and used under the terms of a single license. But it is increasingly common for information systems and other software to be composed with components from a variety of sources, and with a diversity of licenses. This may result in possible license conflicts and organizational liability for failure to fulfill license obligations. Research and practice to date have not kept up with this sea-change in software licensing arising from free/open source software development. System consumers and users consequently rely on ad hoc heuristics (or costly legal advice) to determine which license rights and obligations are in effect, often with less than optimal results; consulting services are offered to identify unknowing unauthorized use of licensed software in information systems; and researchers have shown how the choice of a (single) specific license for a product affects project success and system adoption. Legal scholars have examined how pairs of software licenses conflict but only in simple contexts. We present an approach for understanding and modeling software licenses, as well as for analyzing conflicts among groups of licenses in realistic system contexts, and for guiding the acquisition, integration, or development of systems with free/open source components in such an environment. This work is based on an empirical analysis of representative software licenses and of heterogeneously-licensed systems. Our approach provides guidance for achieving a ""best-of-breed"" component strategy while obtaining desired license rights in exchange for acceptable obligations."	Software Licenses in Context: The Challenge of Heterogeneously-Licensed Systems	Alspaugh, Thomas A.; Scacchi, Walt; Asuncion, Hazeline U.	SBSI '23: Proceedings of the XIX Brazilian Symposium on Information Systems	https://aisel.aisnet.org/jais/vol11/iss11/2/				Google Scholar	2010	Software Licenses in Context: The Challenge of Heterogeneously-Licensed Systems	https://aisel.aisnet.org/jais/vol11/iss11/2/	Association for Information Systems
Method for Game Development Driven by User-eXperience: A Study of Rework, Productivity and Complexity of Use	The growing capabilities and revenues of video game development are important factors for software companies. However, game development processes could be considered immature, specifically in the design phase. Ambiguous requirements in game design cause rework. User-eXperience (UX) is usually assessed at the end of the development process, causing difficulties to ensure the interactive experience between the game and users. To reduce these problems, this paper proposes a method for Game Development driven by User-eXperience (GameD-UX) that integrates a repository based on requirements engineering, a model for user experience management, and an adjusted agile process. Two experiments were conducted to study rework and productivity of video game development. Results of the first experiment revealed that GameD-UX causes less rework than conventional approaches, but it induces lower productivity. A tool for supporting the GameD-UX method was developed by considering the lessons learned. The second experiment showed that the software tool increases the productivity and reduces the complexity of use of GameD-UX.	Rework; Productivity; Complexity of Use; Video Game Development	Gonzalez-Salazar, Mario; Mitre-Hernandez, Hugo; Lara-Alvarez, Carlos	(IJACSA) International Journal of Advanced Computer Science and Applications	https://dx.doi.org/10.14569/IJACSA.2017.080250		9		Google Scholar	2017	Method For Game Development Driven By User-Experience: A Study Of Rework, Productivity And Complexity Of Use	https://www.researchgate.net/profile/Carlos-Lara-Alvarez/publication/314163800_Method_for_Game_Development_Driven_by_User-eXperience_a_Study_of_Rework_Productivity_and_Complexity_of_Use/links/59540e95a6fdcc1697893e96/Method-for-Game-Development-Driven-by-User-eXperience-a-Study-of-Rework-Productivity-and-Complexity-of-Use.pdf	The Science and Information Organization
E.GRAPHIC (GAMES RESEARCH APPLIED TO PUBLIC HEALTH WITH INNOVATIVE COLLABORATION) - DESIGNING A SERIOUS GAME PILOT FOR DENTAL PUBLIC HEALTH	Educators are looking towards new methods of engaging and motivating students and encouraging self-directed life-long learning in preparing undergraduates to enter the dental profession. This paper's objective is to report the development of an online collaborative serious game as an e-learning Dental Public Health resource for dental undergraduates. GRAPHIC involved the development of a pilot computer game programme. The game was housed within the Moodle environment. In the game students worked collaboratively to consider the views of key stakeholders in the community and individually to explore population oral health, and the evidence base for community initiatives. The pilot programme was used by students in January 2012 with positive feedback. The learning outcomes of the game were achieved with all students successfully passing the game. The development of a pilot game has demonstrated the effective use of technology enhanced learning in dental public health. The pilot programme demonstrates the potential of using gaming as a teaching tool in dental public health. Learning from the pilot is contributing to further developments including an improved user interface.	Dentistry; Dental Public Health; Computer Assisted Learning; Serious gaming	O'Neill, E.; Reynolds, P. A.; Hatzipanagos, S.; Gallagher, J. E.	Bulletin du Groupement international pour la recherche scientifique en stomatologie & odontologie	https://revistes.ub.edu/index.php/bullgirso/article/view/6202		2		Google Scholar	2013	Graphic (Games Research Applied To Public Health With Innovative Collaboration)--Designing A Serious Game Pilot For Dental Public Health.	https://revistes.ub.edu/index.php/bullgirso/article/view/6202	Revistes cientifiques de la Universitat de Barcelona
Defining an Iterative ISO/IEC 29110 Deployment Package for Game Developers	"Software development in a small development team is a challenge, as people have to fulfill several roles, which in larger groups would have dedicated people. To help in this aspect, the ISO/IEC 29110 Lifecycle profiles for Very Small Entities has been developed to help organization and manage the workflow. However, the model presented in the ISO/IEC 29110 is rather abstract, and prominently follows the waterfall approach, even though the documents do amend agile practices as one acceptable approach. In game development this loosely defined approach is problematic, since games industry heavily relies in the agile practices with short cycles of iterations. In this article, the authors present their study of game development organizations, and describe the ISO/IEC 29110 deployment package ""Highly Iterative Software Processes"" which combines the Entry level model with the industry-specific requirements. In general, the definition of support for the iterative development makes the model feasible for the industry."		Kasurinen, Jussi; Smolander, Kari	International Journal of Information Technologies and Systems Approach	https://www.igi-global.com/article/defining-an-iterative-isoiec-29110-deployment-package-for-game-developers/169770		19		Google Scholar	2017	Defining An Iterative Iso/Iec 29110 Deployment Package For Game Developers	https://www.igi-global.com/article/defining-an-iterative-isoiec-29110-deployment-package-for-game-developers/169770	IGI Global
Introduction of a process maturity model for market-driven product management and requirements engineering	The area of software product development of software intensive products has received much attention, especially in the area of requirements engineering and product management. Many companies are faced with new challenges when operating in an environment where potential requirements number in thousands or even tens of thousands, and where a product does not have a customer, but any number of customers or markets. The development organization carries not only all the costs of development, but also takes all the risks. In this environment traditional bespoke requirements engineering, together with traditional process assessment and improvement models fall short as they do not address the unique challenges of a market-driven environment. This paper introduces the Market-driven Requirements Engineering Process Model, aimed at enabling process improvement and process assurance for organizations faced with these new challenges. The model is also validated in the industry through three case studies where the model is used for process assessment and improvement suggestion. Initial results show that the model is appropriate for process improvement for organizations operating in a market-driven environment. In addition, the model was designed to be light weight in terms of low cost and thus adapted not only for large organizations but suitable for small and medium enterprises as well.		Gorschek, Tony; Gomes, Andrigo; Pettersson, Andreas; Torkar, Richard	TT '06: Proceedings of the 2006 international workshop on Software technology transfer in software engineering	https://onlinelibrary.wiley.com/doi/10.1002/smr.535				Google Scholar	2011	Introduction of a process maturity model for market-driven product management and requirements engineering	https://onlinelibrary.wiley.com/doi/10.1002/smr.535	Wiley Online Library
How BioWare's Anthem Went Wrong			Runcieman, Michael		https://kotaku.com/how-biowares-anthem-went-wrong-1833731964				Google	2019	How BioWare's Anthem Went Wrong	https://kotaku.com/how-biowares-anthem-went-wrong-1833731964	Kotaku
Doors and Perception: Fiction vs. Simulation in Games	In this paper, the author outlines a theory of the relationship of fictional, virtual and real elements in games. Not much critical attention has been paid to the concept of fiction when applied to games and game worlds, despite many books, articles and papers using the term, often in the title. Here, it is argued that game worlds and their objects are ontologically different from fictional worlds; they are empirically upheld by the game engine, rather than by our mind stimulated by verbal information. Game phenomena such as labyrinths, moreover, are evidence that games contain elements that are just as real as their equivalents outside the game, and far from equal to the fictional counterparts.		Aarseth, Espen	Intermediality	https://www.erudit.org/en/journals/im/2007-n9-im1814828/1005528ar/abstract/				Google Scholar	2011	Doors and Perception: Fiction vs. Simulation in Games	https://www.erudit.org/en/journals/im/2007-n9-im1814828/1005528ar/abstract/	Erudit
Game Engines and Game History	I have a problem: it's called preaching to the choir.  Nobody here lacks faith in the history of games, and I can only hope that my talk will not reduce your enthusiasm.  That realization eliminates the need for a homily on the value of historical studies.  Instead, I will talk about the possibilities and promises facing the history of games as we plunge forward. What does history offer game studies and what might a history of games give back? These questions guide my thoughts at the end of this conference, which has given so much food for these thoughts.		Lowood, Henry	History of Games International Conference Proceedings	https://www.kinephanos.ca/2014/game-engines-and-game-history/		20		Google Scholar	2014	Game Engines and Game History	https://www.kinephanos.ca/2014/game-engines-and-game-history/	Kinephanos
Beyond the HUD - User Interfaces for Increased Player Immersion in FPS Games	The concept of immersion has been adapted by game developers and game critics to describe a deep and positive game experience. While the definition of this concept varies, the user interface of the game is often said to affect the degree to which players can immerse themselves in a game experience. In cooperation with game developer EA DICE, this master thesis aims to investigate how the notion of immersion affects, and is affected by, the user interface (UI) of first-person shooter games, with the ultimate purpose of delivering user interface guidelines for increased immersion. By conducting a study of contemporary first-person shooter (FPS) games, the current state of user interfaces in FPS games is documented. With the addition of a subjective study of FPS games as well as games of other genres, a design space for UI designers is mapped out in order to provide a structure upon which the guidelines can be built. A literature study of various resources within the fields of ludology, cognitive science and media studies is conducted in order to gain increased understanding of what immersion is and its relation to the game experience. The knowledge acquired is used to formulate various hypotheses of how player immersion is connected to the user interfaces of FPS games. These hypotheses are evaluated by user studies and user tests. Looking at the results of the user tests and the literature study, a final definition of immersion is proposed, upon which the guidelines are based. The first guideline, Know Your Design Space, explains the user interface design space of FPS games and encourages UI designers to look at it as a set of tools. Know Your Game discusses how the competitive focus of the game and the game fiction affects the user interface from an immersion point of view. The guideline Establish Player Agency focuses on how the player can be transferred into the game world by acting within it as an agent rather than simply a player of the game. Finally, Strengthen the Player-Avatar Perceptual Link suggests how the user interface can link the player closer to his in-game character on a perceptual level.	Datalogi; Bildanalys; Computer science; Image analysis	Fagerholt, Erik; Lorentzon, Magnus	CHI '24: Proceedings of the CHI Conference on Human Factors in Computing Systems	https://odr.chalmers.se/items/d5fe6889-4cc6-49c2-ba56-0d759e2f37eb				Google Scholar	2009	Beyond the HUD - User Interfaces for Increased Player Immersion in FPS Games	https://odr.chalmers.se/items/d5fe6889-4cc6-49c2-ba56-0d759e2f37eb	CHALMERS UNIVERSITY OF TECHNOLOGY
PROV Model Primer	"This document provides an intuitive introduction and guide to the PROV Data Model for provenance interchange on the web. PROV defines a core data model for provenance for building representations of the entities, people and processes involved in producing a piece of data or thing in the world. This primer explains the fundamental PROV concepts and provides examples of its use. The primer is intended as a starting point for those wishing to create or use PROV data.

The PROV Document Overview describes the overall state of PROV, and should be read before other PROV documents."		Gil, Yolanda; Miles, Simon; Belhajjame, Khalid; Deus, Helena F.; Garijo, Daniel; Klyne, Graham; Missier, Paolo; Soiland-Reyes, Stian; Zednik, Stephan	AISec'22: Proceedings of the 15th ACM Workshop on Artificial Intelligence and Security	https://www.w3.org/TR/prov-primer/				Google Scholar	2012	PROV Model Primer	https://www.w3.org/TR/prov-primer/	W3C
Understanding Reliability and Validity in Qualitative Research	The use of reliability and validity are common in quantitative research and now it is reconsidered in the qualitative research paradigm. Since reliability and validity are rooted in positivist perspective then they should be redefined for their use in a naturalistic approach. Like reliability and validity as used in quantitative research are providing springboard to examine what these two terms mean in the qualitative research paradigm, triangulation as used in quantitative research to test the reliability and validity can also illuminate some ways to test or maximize the validity and reliability of a qualitative study. Therefore, reliability, validity and triangulation, if they are relevant research concepts, particularly from a qualitative point of view, have to be redefined in order to reflect the multiple ways of establishing truth.	Reliability; Validity; Triangulation; Construct; Qualitative; Quantitative	Golafshani, Nahid	The Qualitative Report	https://doi.org/10.46743/2160-3715/2003.1870		597-606		Google Scholar	2015	Understanding Reliability and Validity in Qualitative Research	https://doi.org/10.46743/2160-3715/2003.1870	The Qualitative Report
Keeping the Game Alive: Evaluating Strategies for the Preservation of Console Video Games	"Interactive fiction and video games are part of our cultural heritage. As original systems cease to work because of hardware and media failures, methods to preserve obsolete video games for future generations have to be developed. The public interest in early video games is high, as exhibitions, regular magazines on the topic and newspaper articles demonstrate. Moreover, games considered to be classic are rereleased for new generations of gaming hardware. However, with the rapid development of new computer systems, the way games look and are played changes constantly. When trying to preserve console video games one faces problems of classified development documentation, legal aspects and extracting the contents from original media like cartridges with special hardware. Furthermore, special controllers and non-digital items are used to extend the gaming experience making it difficult to preserve the look and feel of console video games.

This paper discusses strategies for the digital preservation of console video games. After a short overview of console video game systems, there follows an introduction to digital preservation and related work in common strategies for digital preservation and preserving interactive art. Then different preservation strategies are described with a specific focus on emulation. Finally a case study on console video game preservation is shown which uses the Planets preservation planning approach for evaluating preservation strategies in a documented decision-making process. Experiments are carried out to compare different emulators as well as other approaches, first for a single console video game system, then for different console systems of the same era and finally for systems of all eras. Comparison and discussion of results show that, while emulation works very well in principle for early console video games, various problems exist for the general use as a digital preservation alternative. We show what future work has to be done to tackle these problems."		Guttenbrunner, Mark; Becker, Christoph; Rauber, Andreas	International Journal of Digital Curation	https://doi.org/10.2218/ijdc.v5i1.144				Google Scholar	2010	Keeping the Game Alive: Evaluating Strategies for the Preservation of Console Video Games	https://doi.org/10.2218/ijdc.v5i1.144	International Journal of Digital Curation
Onward Through the Fog: Computer Game Collection and the Play of Obsolescence	"In Mardi and a Voyage Thither, novelist Herman Melville writes of the peculiar and startling confluence of memory, objects, valuation, and disfigurement that mark the collector of obsoletia. The story's antiquary is the picture of perverse depletion, with a body ""crooked, and dwarfed, and surmounted by a hump, that sat on his back like a burden"" (328), his hut in shambles, and ""the precious antiques, and curios, and obsoletes""-the objects of his collection-""strewn about, all dusty and disordered"" (329). This unkempt display cum impromptu museum turns out to present a mere fraction of the curator's collection, the rest of which is host to countless subtle molds and ravenous worms in a vast catacomb below ground. Traversing this darkened vault, one visitor says, is ""like going down to posterity"" (332).

As inveterate accumulators ourselves, we can certainly relate to Mardi's ""extraordinary antiquarian"": pursuing obsolete things has transformed us too (though hopefully not quite so hideously), as well as the work we do and the spaces we do it in. Since 1999, we have been collecting-and subsequently lending out to scholars the world over-computer games, systems, and game-related paraphernalia. By recent estimates, our Learning Games Initiative Archive contains more than 20,000 artifacts, from Venezuelan Pong clones to Mario-themed lollipops. Archival work at this scale and with this diversity is not easy, and it constantly butts up against a host of intractable questions. For example, what does it mean to isolate a thing that no longer has its original value but has taken on a new one? When researchers hold such transmuted artifacts up for inspection, what are they looking for and how might archivists help them to find it? Is the primary work of computer game archivists (and indeed archivists of all types) to protect artifacts from the elements, to enjoin them upon their kin, and to guard over the collection for the sake of some abstract posterity, or is it something more collaborative and communal? Finally, is it possible for research-oriented collectors to engage the process of collection without suffering the deformations of skin and soul (not to mention pocketbook) that often plague the more solipsistic acquirer?

We offer this article as an entree to these questions, as a way to begin to attend to some of the theoretical and practical complexities of obsolescence and its negotiation. We do so primarily by focusing on where those complexities intersect with computer games, the new media we collect and study."	obsolete; obsoletia; obsolescence; computer games; play	Thompson, Jason; McAllister, Ken S.; Ruggill, Judd Ethan	M/C Journal	https://doi.org/10.5204/mcj.155				Google Scholar	2009	Onward Through the Fog: Computer Game Collection and the Play of Obsolescence	https://doi.org/10.5204/mcj.155	M/C Journal
Twisty Little Passages Almost All Alike: Applying the FRBR Model to a Classic Computer Game.	Humanities scholars and librarians both confront questions regarding the boundaries of texts and the relationships between various editions, translations and adaptations. The Functional Requirements for Bibliographic Records (FRBR) Final Report from the International Federation of Library Associations has provided the library community with a model for addressing these questions in the bibliographic systems they create. The Preserving Virtual Worlds project has been investigating FRBR's potential as a model for the description of computer games and interactive fiction. While FRBR provides an attractive theoretical model, the complexity of computer games as works makes its application to such software creations problematic in practice.		McDonough, Jerome P.; Kirschenbaum, Matthew G.; Reside, Doug; Fraistat, Neil; Jerz, Dennis	Digital Humanities Quaterly	https://www.proquest.com/docview/2555208458?pq-origsite=gscholar&fromopenview=true&sourcetype=Scholarly%20Journals				Google Scholar	2010	Twisty Little Passages Almost All Alike: Applying the FRBR Model to a Classic Computer Game.	https://www.proquest.com/docview/2555208458?pq-origsite=gscholar&fromopenview=true&sourcetype=Scholarly%20Journals	Alliance of Digital Humanities Organizations
